[2026-06-09 15:10:58.510][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | leave, 394 ms
[2026-06-09 15:10:58.510][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | enter
[2026-06-09 15:10:58.937][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | leave, 426 ms
[2026-06-09 15:10:58.937][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | enter
[2026-06-09 15:10:59.156][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | leave, 219 ms
[2026-06-09 15:10:59.156][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | enter
[2026-06-09 15:10:59.415][TRC][Px24456][Tx46046] asst::RoguelikeCopilotConfig::load | leave, 259 ms
[2026-06-09 15:10:59.415][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.426][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-09 15:10:59.429][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-06-09 15:10:59.429][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 13 ms
[2026-06-09 15:10:59.429][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.442][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-09 15:10:59.444][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | leave, 3 ms
[2026-06-09 15:10:59.446][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 16 ms
[2026-06-09 15:10:59.446][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.525][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-09 15:10:59.527][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-06-09 15:10:59.527][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 81 ms
[2026-06-09 15:10:59.527][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.537][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-09 15:10:59.540][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-06-09 15:10:59.540][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 12 ms
[2026-06-09 15:10:59.540][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.541][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | enter
[2026-06-09 15:10:59.543][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig::parse | leave, 2 ms
[2026-06-09 15:10:59.543][TRC][Px24456][Tx46046] asst::RoguelikeRecruitConfig :: asst::AbstractConfig::load | leave, 3 ms
[2026-06-09 15:10:59.544][TRC][Px24456][Tx46046] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-09 15:10:59.550][TRC][Px24456][Tx46046] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-09 15:10:59.551][TRC][Px24456][Tx46046] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-09 15:10:59.551][TRC][Px24456][Tx46046] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 7 ms
