[2026-06-08 17:11:28.923][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.933][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-08 17:11:28.933][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.933][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-06-08 17:11:28.933][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.943][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | enter
[2026-06-08 17:11:28.944][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.944][TRC][Px18108][Tx2126] asst::RoguelikeShoppingConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-06-08 17:11:28.944][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.945][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | enter
[2026-06-08 17:11:28.946][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.946][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | leave, 1 ms
[2026-06-08 17:11:28.946][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.955][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | enter
[2026-06-08 17:11:28.955][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.955][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | leave, 9 ms
[2026-06-08 17:11:28.955][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.966][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | enter
[2026-06-08 17:11:28.967][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.967][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | leave, 10 ms
[2026-06-08 17:11:28.967][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | enter
[2026-06-08 17:11:28.976][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | enter
[2026-06-08 17:11:28.976][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig::parse | leave, 0 ms
[2026-06-08 17:11:28.976][TRC][Px18108][Tx2126] asst::RoguelikeStageEncounterConfig :: asst::AbstractConfig::load | leave, 9 ms
